ID,MEDIA_NAME,USER_1,USER_2,USER_3,USER_4,USER_5,USER_6,USER_7,USER_8,USER_9,USER_10,USER_11,USER_12,USER_13,USER_14,USER_15,USER_16,USER_17,USER_18,USER_19,USER_20,USER_21,USER_22,USER_23,USER_24,USER_27,USER_28,USER_29,USER_31,USER_32,USER_33,USER_34,USER_35,USER_36,USER_37,USER_38,USER_39,USER_40,USER_41,USER_42,USER_43,USER_44,USER_45,USER_46,USER_47,USER_48,USER_49,USER_50,USER_51
1,NewMedia1,58.58481,46.71515,56.30042,31.38916,40.41174,66.26758,38.83765,36.65381,64.32458,55.64307,69.95837,49.88354,34.89246,39.93579,20.34363,68.46387,61.45142,96.5575,39.92871,65.79834,26.27686,44.68469,82.74023,71.91357,73.25391,48.87897,42.77588,37.49149,52.67627,48.33545,42.43506,61.93311,52.97754,51.34961,62.98486,64.25781,36.64661,54.30396,54.42383,85.09009,77.47412,51.5708,68.51831,65.61801,54.9873,61.12933,59.15356,48.63062
2,NewMedia2,50.55969,21.68298,46.00525,20.65723,65.08203,36.51929,25.54724,44.25659,29.41797,41.00757,38.89111,31.67712,41.58398,50.55963,34.62415,40.99414,40.78601,46.98975,36.3786,43.90137,42.73535,31.89783,66.40796,50.39844,72.38965,54.37787,25.50757,30.86633,77.58044,17.65674,28.0127,44.43054,76.71729,44.53125,67.42664,52.85034,25.84949,69.45605,44.14844,45.66321,28.23389,42.07324,91.33948,32.01172,40.37842,67.01703,50.41223,49.56812
3,NewMedia3,45.30103,32.52747,54.10339,32.2124,32.08545,30.21704,39.29309,58.03564,24.75708,86.03467,37.05591,27.44336,45.4823,86.48303,23.46436,58.2298,29.07715,41.68427,28.93024,48.60986,32.70068,78.51172,73.74243,44.40381,49.45508,33.92102,57.44556,30.48413,63.23352,35.51538,21.27393,35.39453,71.97461,60.57373,40.06287,33.98438,28.75635,35.34131,60.33203,52.61597,67.09155,33.78625,30.42383,34.33629,28.11328,125.13928,33.67932,35.88965
4,NewMedia4,71.80042,60.23199,98.28601,43.0376,54.97375,69.03418,34.97241,61.02271,70.01825,62.79126,48.51636,58.15576,79.47684,63.78223,16.9538,103.16248,24.07434,61.64526,53.27884,29.98242,38.09424,34.48352,33.6731,86.91211,157.86719,90.61652,29.36572,49.9632,73.18698,134.64453,50.0166,33.16406,175.53833,70.20557,103.34961,49.67578,53.64099,27.66431,36.94287,67.52026,70.09229,67.32593,88.24487,54.77319,19.82764,84.33249,54.42407,35.17944
5,NewMedia5,100.5238,21.20044,75.23682,33.29736,41.979,50.08423,50.19092,37.2832,29.22531,86.23535,56.05896,90.63635,79.4035,95.52625,58.06879,114.34875,51.64453,56.46747,31.37531,200.96484,23.46387,165.41663,83.25415,42.13281,49.92969,70.77515,49.67505,36.11157,55.90417,71.6792,41.12793,61.57162,110.88525,58.09473,184.13892,77.44019,48.69067,64.09045,33.9873,63.13306,67.64136,39.69556,67.90845,56.42761,61.81982,32.72827,3.58954,75.76538
6,NewMedia6,90.68311,51.59839,51.61786,117.71143,91.63403,71.83472,85.13788,77.06543,57.21173,79.21509,93.62329,74.37256,127.23645,144.64551,59.24133,169.3092,80.86346,81.05084,40.11597,104.77539,87.81543,77.58057,82.0022,83.26074,90.9375,82.5647,87.68237,70.10507,120.34991,94.06494,82.20752,116.49182,97.11279,73.4209,126.24542,94.16553,84.65454,82.84619,36.47266,73.12573,127.15576,140.01038,114.07471,49.43475,118.58203,138.94434,110.51636,99.20923
7,NewMedia7,76.25513,51.47668,57.49286,78.15039,33.32458,75.95313,28.52173,50.62671,32.099,79.1217,21.56897,145.20862,78.53864,52.98462,33.211,64.30487,50.86133,55.79785,21.32117,51.78467,41.32861,45.64954,67.07568,56.33984,84.48828,65.87256,52.93066,25.55225,38.14734,193.91797,33.8335,54.16998,94.01221,173.28076,53.95618,100.71045,71.83374,65.97998,30.8667,29.54675,139.74951,24.7771,87.54846,26.22437,85.27734,21.52832,79.51617,45.64258
8,NewMedia8,68.50464,58.64465,34.41675,172.31689,59.5957,35.71558,24.35547,104.77661,29.16199,78.19702,162.53723,52.7771,82.95972,55.64355,38.88409,114.76453,220.35754,71.25763,69.08716,69.4165,98.07764,73.07275,87.48804,42.96387,120.80664,68.19672,43.28516,26.04321,129.03796,119.92139,46.79492,30.41724,129.16724,49.62109,79.59766,48.78076,118.64819,78.94043,90.46143,51.25574,46.54004,74.50635,131.5437,90.19452,59.9375,110.0874,142.9021,143.27124
9,NewMedia9,73.64233,31.1344,37.09595,158.43701,80.5419,31.00732,65.10889,123.86035,44.13586,161.61304,53.12555,38.48901,128.89063,71.70654,54.33771,120.72549,196.7464,47.40417,51.6377,63.15869,58.38965,33.51208,57.88086,57.8877,160.69434,64.08459,48.1748,94.30023,104.8905,36.90796,42.87646,67.41272,181.40625,76.19385,165.23608,27.80518,126.29858,115.99585,42.36768,68.35071,62.06104,35.52148,93.50342,54.22437,99.16357,73.32025,69.05988,120.83154
10,NewMedia10,56.80237,17.28857,15.17871,48.26245,86.87189,12.31836,18.89624,50.65332,22.20532,42.05249,23.95386,43.15161,50.91479,80.30078,13.42349,133.18469,50.68024,17.4162,36.63342,123.41113,47.51855,88.95483,126.7334,67.72705,112.16602,35.5957,40.56543,12.79425,87.57474,90.65503,51.71875,11.54126,97.99121,40.9165,78.60645,66.30664,131.16748,53.88208,35.15967,12.30518,69.22754,15.82202,49.86304,21.20047,53.27246,17.83069,101.63391,206.72461
11,NewMedia11,37.3974,42.09277,22.16504,85.61914,25.0387,20.75146,22.39954,22.0647,19.10432,69.73096,185.43909,46.79517,36.92188,47.87317,33.15747,267.63477,34.7583,15.36548,21.76324,124.08105,16.71191,22.48605,27.79199,63.9292,84.33887,34.91943,23.67847,38.09317,51.698,133.78638,31.91797,44.63165,46.73486,45.12598,76.99829,19.55273,155.69727,64.53833,34.57666,55.11426,56.05957,63.33398,166.24841,25.7619,37.41699,50.90088,108.24585,57.11035
12,NewMedia12,39.72852,11.05951,20.37018,13.89893,31.55621,15.17188,22.90186,19.68628,15.48672,23.47852,19.61292,12.72021,18.30017,40.88708,11.61487,26.39206,33.43176,16.80646,17.52307,16.13623,49.8291,14.33423,72.00732,12.15088,142.5625,29.76111,11.89648,11.71573,30.08875,20.9917,15.78711,18.38715,48.79834,39.54053,32.53418,19.28418,145.88354,22.21179,16.77246,25.80237,34.0415,18.4342,19.646,16.85327,12.99512,16.35718,82.2677,45.14014
13,NewMedia13,81.28528,17.56995,31.2749,29.74072,167.67493,31.38159,33.92755,41.00146,42.09277,43.59277,44.7522,13.89233,105.92194,180.06723,18.48071,81.29236,66.83679,87.3606,34.33606,41.93945,20.02051,128.94421,32.76147,43.8877,212.82031,31.89758,35.4209,40.47839,52.83719,48.33545,27.95313,61.60547,31.24121,32.39307,50.22461,76.22754,61.72583,52.73608,19.37842,36.47266,20.79199,29.43298,86.95227,26.33846,94.60205,29.15112,70.57361,55.30811
14,NewMedia14,41.45667,54.47827,39.83545,75.14941,75.2836,32.96289,37.3374,65.87842,35.44806,68.87305,60.0719,46.3197,36.73413,30.84619,87.86981,69.20782,66.65085,91.73462,45.42859,73.15967,77.15234,57.99512,59.04639,45.32129,79.08594,48.72949,47.16309,42.62903,53.24567,74.7124,36.39258,36.43262,57.33765,162.1084,73.11365,44.37012,117.2085,56.44702,54.16943,116.21094,83.07373,65.81262,67.44678,51.5506,46.22559,111.95007,122.93481,48.85767
